"","Diet","raceway","grpmns","grpstd"
"1","A",1,49.7,14.6897545550935
"2","A",2,37.9,6.83861584435525
"3","A",3,37.7,9.21411959983156
"4","A",4,37.6,9.11896680307345
"5","A",5,34.8,9.60092588127717
"6","B",6,35.7,16.8658102549375
"7","B",7,30.3,15.7976791544412
"8","B",8,28.4,5.50151494287407
"9","B",9,38.5,11.5397862487425
"10","B",10,30.1,10.5245744173656
"11","C",11,31.3,5.16505351160835
"12","C",12,31.9,7.07813534767456
"13","C",13,30.6,9.24000962000461
"14","C",14,33.1,9.14634110207768
"15","C",15,34,11.5662343819316
"16","D",16,17.6,8.88444333277743
"17","D",17,19.9,3.47850542618522
"18","D",18,14.6,8.14043405886115
"19","D",19,14.6,5.46097264433931
"20","D",20,17.9,9.03634636097773
