name,run.no.in.std.order,run.no,run.no.std.rp,polysorb,propylene,sucrose,poly_code,prop_code,sucrose_code,turbidity
1,1,1,1.1,3.7,17,49,-1,-1,-1,3.1
2,2,2,2.1,4.3,17,49,1,-1,-1,2.8
3,3,3,3.1,3.7,23,49,-1,1,-1,3.9
4,4,4,4.1,4.3,23,49,1,1,-1,3.1
5,5,5,5.1,3.7,17,61,-1,-1,1,6
6,6,6,6.1,4.3,17,61,1,-1,1,3.4
7,7,7,7.1,3.7,23,61,-1,1,1,3.5
8,8,8,8.1,4.3,23,61,1,1,1,1.8
9,1,9,1.2,3.7,17,49,-1,-1,-1,4.08
10,2,10,2.2,4.3,17,49,1,-1,-1,2.1
11,3,11,3.2,3.7,23,49,-1,1,-1,4.7
12,4,12,4.2,4.3,23,49,1,1,-1,2.2
13,5,13,5.2,3.7,17,61,-1,-1,1,6.8
14,6,14,6.2,4.3,17,61,1,-1,1,3.9
15,7,15,7.2,3.7,23,61,-1,1,1,4.06
16,8,16,8.2,4.3,23,61,1,1,1,1.4
